Dấu thời gian,1. Please specify your age: ,2. Please select your gender:,3. Please select your College:,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?,What is your major,What is your major,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?
14/05/2026 0:28:00,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2,4,"Private space (i.e. bedroom, home office)",8,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,5,4,Nguyễn Cảnh Kỳ,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:30:30,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,2,8,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Disagree,4,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:30:32,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4,3,Open learning space (i.e. university library),6,Somewhat Agree,Agree,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Disagree,3,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:31:18,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,2,5,"Private space (i.e. bedroom, home office)",8,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,5,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:32:25,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,5,4,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Agree,Agree,Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,5,6,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:33:32,23,Male,CHS (Health Science),1st Year,3.5 – 4.0,No,4,1,"Private space (i.e. bedroom, home office)",5,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Agree,5,6,Bill,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:33:48,20,Male,CBM (Business and Management),2nd Year,3.0 – 3.49,No,2,14,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:35:08,19,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,9,4,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,3,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:36:49,19,Prefer not to say,CHS (Health Science),1st Year,3.0 – 3.49,No,11,2,"Private space (i.e. bedroom, home office)",4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,2,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:39:09,19,Female,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2,5,"Private space (i.e. bedroom, home office)",5,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Strongly Disagree,Disagree,5,3,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:48:00,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2,4,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,6,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:49:48,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,5,5,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Agree,Neutral,Somewhat Disagree,Neutral,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:50:18,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,3,5,"Private space (i.e. bedroom, home office)",7,Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,6,3,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:50:35,19,Female,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2,6,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Agree,Neutral,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:51:17,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,5,5,Collaborative space (i.e. group study room),6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:52:35,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,6,6,Open learning space (i.e. university library),6,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Agree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 0:58:51,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,6,4,Open learning space (i.e. university library),6,Strongly Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,3,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
