,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree total
Feel in control of habit,3.63,11.92,22.28,27.46,21.76,6.74,6.22,34.72
Difficult to maintain work habits,8.29,15.03,22.8,17.1,21.76,10.88,4.15,36.79
Delay for comfort or convenience,6.22,11.92,13.99,21.76,23.32,15.54,7.25,46.11
Delay until close to deadline,6.22,13.47,16.06,16.58,24.87,15.54,7.25,47.67
Prefer sooner task over next month,5.18,5.18,16.06,24.35,17.1,20.73,11.4,49.22
Peers consider delay normal,4.15,8.29,10.36,24.87,25.39,18.13,8.81,52.33
Start early when necessary,2.07,5.18,14.51,21.24,20.73,24.35,11.92,56.99
Have a study plan for assignments,2.59,3.11,10.88,19.17,20.21,23.83,20.21,64.25
Delay when deadlines are far away,4.15,4.15,10.88,11.92,26.42,25.39,17.1,68.91
Habit affects learning progress,2.07,4.66,8.29,8.81,12.44,27.98,35.75,76.17
